idx,id
0,ARG10016
1,IRL10988
2,IRL11001
3,UGA12564
4,NLD11888
5,MEX11235
6,FIN10764
7,MEX11405
8,MEX11276
9,MEX11137
10,MEX11134
11,MEX11293
12,NLD11889
13,MEX11177
14,MEX11242
15,MEX11091
16,MEX11158
17,MEX11210
18,MEX11095
19,MEX11189
20,MEX11164
21,MEX11522
22,JPN11048
23,MEX11150
24,MEX11151
25,MEX11107
26,MEX11194
27,MEX11181
28,MEX11123
29,MEX11220
30,MEX11377
31,MEX11184
32,PRT12212
33,MEX11170
34,MEX11200
35,IRL11003
36,MEX11430
37,MEX11136
38,USA13158
39,CHN10570
40,IRL11004
41,IRL11018
42,NLD11892
43,IRL11000
44,MEX11217
45,MEX11260
46,CAN10169
47,NLD11911
48,JPN11041
49,MEX11211
50,IRL10990
51,MEX11221
52,IRL10994
53,NLD11910
54,NLD11903
55,IRL10999
56,HUN10970
57,NLD11894
58,FIN10761
59,NLD11907
60,NLD11893
61,IRL11006
62,IRL11002
63,IRL11013
64,IRL10989
65,USA13122
66,NOR12092
67,NZL12037
68,NZL12039
69,NZL12041
70,NZL12042
71,NZL12043
72,NZL12045
73,NZL12047
74,NZL12048
75,NZL12051
76,NZL12053
77,NZL12054
78,NZL12055
79,USA12622
80,USA12686
81,USA12721
82,USA12819
83,USA12824
84,USA12842
85,USA12849
86,USA12862
87,USA12901
88,USA12907
89,USA12930
90,USA12940
91,USA12954
92,USA12960
93,USA12970
94,USA12976
95,USA12980
96,USA12985
97,USA12991
98,USA13003
99,USA13010
100,USA13014
101,USA13033
102,USA13078
103,USA13130
104,USA13133
105,USA13140
106,USA13152
107,USA13156
108,USA13231
109,USA13240
110,USA13261
111,USA13262
112,USA13323
113,USA13345
114,USA13360
115,USA13366
116,USA13379
117,USA13419
118,USA13454
119,USA13493
120,USA13502
121,USA13521
122,USA13524
123,USA13540
124,USA13653
125,USA13673
126,USA13676
127,USA13684
128,USA13691
129,USA13704
130,USA13707
131,USA13709
132,USA13715
133,USA13734
134,USA13758
135,USA13799
136,USA13816
137,USA13831
138,USA13834
139,USA13836
140,USA13874
141,USA13875
142,USA13912
143,USA13916
144,USA13926
145,USA13939
146,USA13960
147,USA13972
148,USA14011
149,USA14038
150,USA14097
151,USA14167
152,USA14179
153,USA14239
154,USA14335
155,USA14337
156,USA14357
157,USA14439
158,USA14442
159,USA14517
160,USA14529
161,USA14575
162,USA14578
163,USA14634
164,USA14650
165,USA14666
166,USA14674
167,USA14685
168,USA14720
169,USA14768
170,USA14828
171,USA14840
172,USA14846
173,USA14854
174,USA14857
175,USA14861
176,USA14880
177,USA14887
178,USA14900
179,USA14940
180,USA14941
181,USA14961
182,USA14964
183,USA14986
184,USA14998
185,USA15003
186,USA15015
187,USA15016
188,USA15019
189,USA15034
190,USA15095
191,USA15097
192,USA15143
193,USA15155
194,USA15157
195,USA15210
196,USA15243
197,USA15337
198,USA15386
199,USA15407
200,USA15465
201,USA15472
202,USA15476
203,USA15507
204,USA15509
205,USA15511
206,USA15512
207,USA15545
208,USA15550
209,USA15551
210,USA15556
211,USA15570
212,USA15571
213,USA15587
214,USA15619
215,USA15624
216,USA15637
217,USA15641
218,USA15642
219,USA15673
220,USA15684
221,USA15690
222,USA15691
223,USA15728
224,USA15739
225,USA15742
226,USA15803
227,USA15836
228,USA15847
229,USA15853
230,USA15854
231,USA15857
232,USA15884
233,USA15920
234,USA15962
235,USA15968
236,USA15991
237,USA16004
238,USA16083
239,USA16086
240,USA16146
241,USA16171
242,USA16191
243,USA16272
244,USA16308
245,USA16321
246,USA16372
247,USA16394
248,USA16410
249,USA16450
250,USA16475
251,USA16485
252,USA16487
253,USA16512
254,USA16526
255,USA16527
256,USA16528
257,USA16542
258,USA16543
259,USA16545
260,USA16555
261,USA16614
262,USA16666
263,USA16676
264,USA16677
265,USA16685
266,USA16690
267,USA16707
268,USA16710
269,USA16719
270,USA16728
271,USA16729
272,USA16738
273,USA16811
274,USA16842
275,USA16852
276,USA16880
277,USA16932
278,USA16960
279,USA16986
280,USA16997
281,USA17005
282,USA17165
283,USA17168
284,USA17174
285,USA17238
286,USA17243
287,USA17248
288,USA17256
289,USA17266
290,USA17277
291,USA17288
292,USA17315
293,USA17358
294,USA17369
295,USA17399
296,USA17427
297,USA17435
298,USA17439
299,USA17442
300,USA17452
301,USA17460
302,USA17479
303,USA17505
304,USA17539
305,USA17581
306,USA17608
307,USA17610
308,USA17614
309,USA17703
310,USA17715
311,USA17757
312,USA17801
313,USA17817
314,USA17818
315,USA17832
316,USA17847
317,USA17868
318,USA17894
319,USA17900
320,USA17944
321,USA17950
322,USA17961
323,USA17987
324,USA18000
325,USA18015
326,USA18111
327,USA18112
328,USA18184
329,USA18282
330,USA18444
331,USA18478
332,USA18530
333,USA18547
334,USA18574
335,USA18577
336,USA18630
337,USA18643
338,USA18716
339,USA18730
340,USA18761
341,USA18792
342,USA18823
343,USA18846
344,USA18847
345,USA18857
346,USA18861
347,USA18863
348,USA18866
349,USA18875
350,USA18896
351,USA18904
352,USA18914
353,USA18915
354,USA18917
355,USA18935
356,USA18937
357,USA18944
358,USA18965
359,USA18975
360,USA18985
361,USA18996
362,USA19000
363,USA19015
364,USA19021
365,USA19026
366,USA19040
367,USA19051
368,USA19059
369,USA19061
370,USA19063
371,USA19086
372,USA19091
373,USA19099
374,USA19106
375,USA19129
376,USA19130
377,USA19132
378,USA19134
379,USA19139
380,USA19148
381,USA19149
382,USA19150
383,USA19152
384,USA19156
385,USA19165
386,USA19168
387,USA19169
388,USA19176
389,USA19178
390,USA19210
391,USA19230
392,USA19235
393,USA19238
394,USA19259
395,USA19295
396,USA19320
397,USA19324
398,USA19328
399,USA19329
400,USA19337
401,USA19338
402,USA19339
403,USA19342
404,USA19345
405,USA19372
406,USA19377
407,USA19379
408,USA19391
409,USA19400
410,USA19402
411,USA19409
412,USA19410
413,USA19453
414,USA19455
415,USA19458
416,USA19463
417,USA19493
418,USA19509
419,USA19511
420,USA19514
421,USA19608
422,USA19611
423,USA19645
424,USA20182
425,USA20184
426,USA20195
427,USA20196
428,USA20212
429,USA20213
430,USA20235
431,USA20238
432,USA20239
433,USA20265
434,USA20288
435,USA20299
436,USA20301
437,USA20304
438,USA20307
439,USA20309
440,USA20310
441,USA20319
442,USA20321
443,USA20326
444,USA20340
445,USA20354
446,USA20363
447,USA20364
